tconst,ordering,nconst,category,job,characters
tt0000851,1,nm0424530,actor,\N,"[""Harry Walker""]"
tt0000851,2,nm0502701,actress,\N,"[""Madame Lebrun""]"
tt0000851,3,nm0492757,actress,\N,"[""Mignon""]"
tt0000851,4,nm0376829,actress,\N,"[""Mignon's Mother""]"
tt0000851,5,nm0000428,director,\N,\N
tt0000851,6,nm0005658,cinematographer,\N,\N
tt0000851,7,nm0555522,cinematographer,\N,\N
tt0000851,8,nm0922044,actress,\N,"[""One of Mignon's Sisters""]"
tt0000851,9,nm0732651,actress,\N,"[""One of Mignon's Sisters"",""The Maid""]"
tt0000852,10,nm0376829,actress,\N,"[""Woman In the Play"",""Woman In the Audience""]"
tt0000852,1,nm0424530,actor,\N,"[""John Wharton""]"
tt0000852,2,nm0038106,actress,\N,"[""Mrs. John Wharton""]"
tt0000852,3,nm0214651,actress,\N,"[""The Wharton Daughter""]"
tt0000852,4,nm0043018,actor,\N,"[""Man In the Play""]"
tt0000852,5,nm0000428,director,\N,\N
tt0000852,6,nm0005658,cinematographer,\N,\N
tt0000852,7,nm0173994,actor,\N,"[""Man In the Orchestra"",""Man In the Bar""]"
tt0000852,8,nm0250676,actress,\N,\N
tt0000852,9,nm0366008,actor,\N,"[""Theatre Usher""]"
tt0000853,10,nm0492757,actress,\N,\N
tt0000853,1,nm0409390,actor,\N,"[""Hidalgo""]"
tt0000853,2,nm0587097,actor,\N,"[""Manuella""]"
tt0000853,3,nm0502701,actress,\N,"[""Mercedes""]"
tt0000853,4,nm0038106,actress,\N,"[""Mercedes' Friend""]"
tt0000853,5,nm0000428,director,\N,\N
tt0000853,6,nm0005658,cinematographer,\N,\N
tt0000853,7,nm0555522,cinematographer,\N,\N
tt0000853,8,nm0949133,actor,\N,"[""Carlos""]"
tt0000853,9,nm0102858,actress,\N,\N
tt0000854,10,nm0102858,actress,\N,\N
tt0000854,1,nm0949133,actor,\N,"[""Edgar Allan Poe""]"
tt0000854,2,nm0038106,actress,\N,"[""Virginia Poe""]"
tt0000854,3,nm0424530,actor,\N,"[""First Publisher""]"
tt0000854,4,nm0674185,actor,\N,"[""Resident Poet""]"
tt0000854,5,nm0000428,director,\N,\N
tt0000854,6,nm0940488,writer,writer,\N
tt0000854,7,nm0005658,cinematographer,\N,\N
tt0000854,8,nm0587097,actor,\N,"[""Second Publisher""]"
tt0000854,9,nm0376829,actress,\N,"[""Second Publisher's Wife""]"
tt0000855,10,nm0642722,actor,\N,"[""The Butler""]"
tt0000855,1,nm0492757,actress,\N,"[""Margie""]"
tt0000855,2,nm0587097,actor,\N,"[""Margie's Father""]"
tt0000855,3,nm0376829,actress,\N,"[""Aunty""]"
tt0000855,4,nm0424530,actor,\N,"[""The Minister"",""In Store""]"
tt0000855,5,nm0000428,director,\N,\N
tt0000855,6,nm0005658,cinematographer,\N,\N
tt0000855,7,nm0555522,cinematographer,\N,\N
tt0000855,8,nm0102858,actress,\N,\N
tt0000855,9,nm0581499,actress,\N,"[""In Store""]"
tt0000856,1,nm0246715,self,\N,"[""Himself""]"
tt0000856,2,nm1138324,self,\N,"[""Himself""]"
tt0000856,3,nm0023107,director,\N,\N
tt0000857,10,nm0519310,actress,\N,"[""The Maid (unconfirmed)""]"
tt0000857,1,nm0041669,actress,\N,"[""Matilda Scroggins""]"
tt0000857,2,nm0492757,actress,\N,"[""Flora - Aunty's Ward""]"
tt0000857,3,nm0601698,actor,\N,"[""Tom Norton""]"
tt0000857,4,nm0424530,actor,\N,"[""Revered Joshua Wittington""]"
tt0000857,5,nm0000428,director,\N,\N
tt0000857,6,nm0005658,cinematographer,\N,\N
tt0000857,7,nm0555522,cinematographer,\N,\N
tt0000857,8,nm0697944,actor,\N,"[""Bill Corker""]"
tt0000857,9,nm0043018,actor,\N,"[""Servant""]"
tt0000858,10,nm0642722,actor,\N,"[""Servant""]"
tt0000858,1,nm0601698,actor,\N,"[""John Waterbury""]"
tt0000858,2,nm0502701,actress,\N,"[""Helen Waterbury - John's Wife""]"
tt0000858,3,nm0424530,actor,\N,"[""William Trevor""]"
tt0000858,4,nm0262757,actor,\N,"[""Servant"",""Man in Cabin""]"
tt0000858,5,nm0000428,director,\N,\N
tt0000858,6,nm0005658,cinematographer,\N,\N
tt0000858,7,nm0373341,actor,\N,"[""Trevor's Servant""]"
tt0000858,8,nm0456804,actor,\N,\N
tt0000858,9,nm0629589,actor,\N,"[""Man in Cabin""]"
tt0000859,1,nm0005717,director,\N,\N
tt0000860,10,nm0534221,actress,\N,\N
tt0000860,1,nm0587097,actor,\N,"[""Francois""]"
tt0000860,2,nm0456804,actor,\N,"[""The Doctor""]"
tt0000860,3,nm0038106,actress,\N,\N
tt0000860,4,nm0054884,actress,\N,\N
tt0000860,5,nm0000428,director,\N,\N
tt0000860,6,nm0005658,cinematographer,\N,\N
tt0000860,7,nm0555522,cinematographer,\N,\N
tt0000860,8,nm0250676,actress,\N,"[""At Party""]"
tt0000860,9,nm0502701,actress,\N,\N
tt0000861,10,nm0732651,actress,\N,"[""The Mother of the Child""]"
tt0000861,1,nm0456804,actor,\N,"[""Silas Marner""]"
tt0000861,2,nm0784407,actor,\N,"[""William Dane""]"
tt0000861,3,nm0910400,actor,\N,"[""The Peasant""]"
tt0000861,4,nm0642722,actor,\N,"[""The Nobleman""]"
tt0000861,5,nm0000428,director,\N,\N
tt0000861,6,nm0253652,writer,"novel ""Silas Marner""",\N
tt0000861,7,nm0940488,writer,writer,\N
tt0000861,8,nm0005658,cinematographer,\N,\N
tt0000861,9,nm0163559,actor,\N,"[""The Minister""]"
tt0000862,10,nm5289318,actor,\N,"[""Doktor""]"
tt0000862,1,nm5289829,actor,\N,"[""Charles""]"
tt0000862,2,nm0264569,actress,\N,"[""Gervaise""]"
tt0000862,3,nm0386036,actor,\N,"[""Fader Loriot""]"
tt0000862,4,nm0511080,actor,\N,"[""Blegnæb""]"
tt0000862,5,nm0878467,director,\N,\N
tt0000862,6,nm0957652,writer,"novel ""L'Assommoir""",\N
tt0000862,7,nm0535230,cinematographer,\N,\N
tt0000862,8,nm0526190,production_designer,\N,\N
tt0000862,9,nm5188470,actor,\N,"[""Vært""]"
tt0000863,1,nm0294276,director,\N,\N
tt0000863,2,nm0378408,producer,producer,\N
tt0000864,10,nm0311375,actor,\N,"[""Party Guest""]"
tt0000864,1,nm0502701,actress,\N,"[""Mrs. Francis""]"
tt0000864,2,nm0949133,actor,\N,"[""Young Man""]"
tt0000864,3,nm0376829,actress,\N,"[""Young Man's Mother""]"
tt0000864,4,nm0813603,actor,\N,"[""Young Man's Father""]"
tt0000864,5,nm0000428,director,\N,\N
tt0000864,6,nm0005658,cinematographer,\N,\N
tt0000864,7,nm0732651,actress,\N,"[""The Maid"",""Party Guest""]"
tt0000864,8,nm0038106,actress,\N,\N
tt0000864,9,nm0173994,actor,\N,"[""Party Guest""]"
tt0000865,1,nm0294276,director,\N,\N
tt0000865,2,nm0378408,producer,producer,\N
tt0000866,1,nm0294276,director,\N,\N
tt0000866,2,nm0378408,producer,producer,\N
tt0000867,1,nm0023107,director,\N,\N
tt0000868,1,nm0005717,director,\N,\N
tt0000869,1,nm0005717,director,\N,\N
tt0000870,10,nm0376829,actress,\N,"[""Fool's Accomplice""]"
tt0000870,1,nm0601698,actor,\N,"[""The Duke""]"
tt0000870,2,nm0409390,actor,\N,"[""The Fool""]"
tt0000870,3,nm0502701,actress,\N,"[""The Daughter""]"
tt0000870,4,nm0038106,actress,\N,"[""At Court""]"
tt0000870,5,nm0000428,director,\N,\N
tt0000870,6,nm0401076,writer,"novel ""Le Roi s'Amuse""",\N
tt0000870,7,nm0005658,cinematographer,\N,\N
tt0000870,8,nm0173994,actor,\N,"[""At Court""]"
tt0000870,9,nm0369058,actor,\N,"[""At Court""]"
tt0000871,1,nm0456804,actor,\N,"[""Ben Webster""]"
tt0000871,2,nm0502701,actress,\N,"[""Fanny Webster""]"
tt0000871,3,nm0288616,actor,\N,"[""Ed Hilton""]"
tt0000871,4,nm0910400,actor,\N,\N
tt0000871,5,nm0000428,director,\N,\N
tt0000871,6,nm0940488,writer,writer,\N
tt0000871,7,nm0005658,cinematographer,\N,\N
tt0000871,8,nm0064415,actor,\N,"[""Extra""]"
tt0000872,1,nm0298301,actress,\N,\N
tt0000872,2,nm0111753,director,\N,\N
tt0000873,1,nm2161079,actress,\N,\N
tt0000873,2,nm0882643,actress,\N,\N
tt0000873,3,nm0698839,director,\N,\N
tt0000873,4,nm0701090,writer,"poem ""The Fountain of Bakhchisaray""",\N
tt0000873,5,nm1234058,producer,producer,\N
tt0000873,6,nm10094537,producer,producer,\N
tt0000873,7,nm1234590,producer,producer,\N
tt0000873,8,nm4893143,producer,producer,\N
tt0000873,9,nm0900111,cinematographer,\N,\N
tt0000874,10,nm0492757,actress,\N,"[""Nurse""]"
tt0000874,1,nm0173994,actor,\N,"[""Leon Martinel""]"
tt0000874,2,nm0424530,actor,\N,"[""Gaston Tortoni""]"
tt0000874,3,nm0043018,actor,\N,"[""Alphonse de Signoles""]"
tt0000874,4,nm0038106,actress,\N,\N
tt0000874,5,nm0000428,director,\N,\N
tt0000874,6,nm0005658,cinematographer,\N,\N
tt0000874,7,nm0555522,cinematographer,\N,\N
tt0000874,8,nm0376829,actress,\N,"[""Nurse""]"
tt0000874,9,nm0409390,actor,\N,"[""At Duel""]"
tt0000875,1,nm0288616,actor,\N,"[""Jack Hudson""]"
tt0000875,2,nm0601698,actor,\N,"[""Robert Edmonds""]"
tt0000875,3,nm0581499,actress,\N,"[""Estelle Morse (unconfirmed)""]"
tt0000875,4,nm0000428,director,\N,\N
tt0000875,5,nm0005658,cinematographer,\N,\N
tt0000875,6,nm0555522,cinematographer,\N,\N
tt0000876,1,nm0298301,actress,\N,\N
tt0000876,2,nm0877550,actress,\N,\N
tt0000876,3,nm0692105,director,\N,\N
tt0000877,10,nm0173994,actor,\N,"[""Miner""]"
tt0000877,1,nm0704334,actor,\N,"[""Bud""]"
tt0000877,2,nm0681933,actress,\N,"[""Miss Lucy""]"
tt0000877,3,nm0456804,actor,\N,"[""Jim Blake""]"
tt0000877,4,nm0041858,actor,\N,\N
tt0000877,5,nm0000428,director,\N,\N
tt0000877,6,nm0005658,cinematographer,\N,\N
tt0000877,7,nm0054884,actress,\N,\N
tt0000877,8,nm0115524,actress,\N,"[""Party Guest""]"
tt0000877,9,nm0163559,actor,\N,"[""Party Guest""]"
tt0000878,10,nm0681933,actress,\N,"[""Woman on Sidewalk""]"
tt0000878,1,nm0502701,actress,\N,"[""Nanette Ranfrea""]"
tt0000878,2,nm0642722,actor,\N,"[""Commodore FItzmaurice""]"
tt0000878,3,nm0629589,actor,\N,"[""Manager of Beach House""]"
tt0000878,4,nm0115524,actress,\N,"[""Woman on Sidewalk""]"
tt0000878,5,nm0000428,director,\N,\N
tt0000878,6,nm0005658,cinematographer,\N,\N
tt0000878,7,nm0262757,actor,\N,"[""Man on Pier""]"
tt0000878,8,nm0424530,actor,\N,"[""An Admirer""]"
tt0000878,9,nm0456804,actor,\N,"[""An Admirer""]"
tt0000879,1,nm1747784,self,\N,"[""Himself""]"
tt0000879,2,nm2681099,self,\N,"[""Himself""]"
tt0000879,3,nm0023107,director,\N,\N
tt0000880,10,nm0115524,actress,\N,\N
tt0000880,1,nm0587097,actor,\N,"[""Dr. Payson""]"
tt0000880,2,nm0492757,actress,\N,"[""Dr. Payson's First Daughter""]"
tt0000880,3,nm0922044,actress,\N,"[""Dr. Payson's Second Daughter""]"
tt0000880,4,nm0054884,actress,\N,\N
tt0000880,5,nm0000428,director,\N,\N
tt0000880,6,nm0005658,cinematographer,\N,\N
tt0000880,7,nm0555522,cinematographer,\N,\N
tt0000880,8,nm0076202,actress,\N,\N
tt0000880,9,nm0102858,actress,\N,\N
tt0000881,1,nm0304098,writer,writer,\N
tt0000882,10,nm0311375,actor,\N,"[""Reveller""]"
tt0000882,1,nm0376829,actress,\N,"[""The Mother""]"
tt0000882,2,nm0214651,actress,\N,"[""The Child""]"
tt0000882,3,nm0601698,actor,\N,"[""The Good Samaritan""]"
tt0000882,4,nm0409390,actor,\N,"[""The Gambler""]"
tt0000882,5,nm0000428,director,\N,\N
tt0000882,6,nm0555522,cinematographer,\N,\N
tt0000882,7,nm0038106,actress,\N,"[""Reveller""]"
tt0000882,8,nm0115524,actress,\N,\N
tt0000882,9,nm0250676,actress,\N,\N
tt0000883,1,nm0488932,actor,\N,"[""Sherlock Holmes""]"
tt0000883,2,nm0390479,actor,\N,"[""Dr. Watson""]"
tt0000883,3,nm0526168,actor,\N,"[""Lord Beresford""]"
tt0000883,4,nm0684773,actor,\N,"[""Willy""]"
tt0000883,5,nm0236279,writer,main characters,\N
tt0000883,6,nm0647763,producer,producer,\N
tt0000883,7,nm0333175,cinematographer,\N,\N
tt0000883,8,nm0919469,actor,\N,"[""John""]"
tt0000884,1,nm0088881,actor,\N,\N
tt0000884,2,nm5227669,actress,\N,\N
tt0000884,3,nm0488932,actor,\N,\N
tt0000884,4,nm1069712,actress,\N,\N
tt0000884,5,nm0526168,actor,\N,\N
tt0000884,6,nm0684773,actor,\N,\N
tt0000885,1,nm0102510,actor,\N,\N
tt0000885,2,nm0302647,actor,\N,\N
tt0000885,3,nm0346090,actress,\N,\N
tt0000885,4,nm0347566,actor,\N,\N
tt0000885,5,nm0005717,director,\N,\N
tt0000885,6,nm0422930,director,\N,\N
tt0000885,7,nm0651029,actor,\N,\N
tt0000885,8,nm0944584,actress,\N,\N
tt0000886,1,nm0609814,actor,\N,"[""Hamlet""]"
tt0000886,2,nm0099901,director,\N,\N
tt0000886,3,nm0000636,writer,play,\N
tt0000887,1,nm0819384,actress,\N,"[""Hansel""]"
tt0000887,2,nm0298301,actress,\N,"[""Gretel""]"
tt0000887,3,nm0115162,actress,\N,"[""The Witch""]"
tt0000887,4,nm0205986,director,\N,\N
tt0000887,5,nm0692105,producer,producer,\N
tt0000887,6,nm0339765,cinematographer,\N,\N
tt0000888,1,nm0644728,actor,\N,\N
tt0000888,2,nm0877550,actress,\N,\N
tt0000888,3,nm0692105,director,\N,\N
tt0000889,1,nm0001908,actor,\N,"[""Honest Steve""]"
tt0000889,2,nm1399761,actor,\N,"[""Bad Steve""]"
tt0000889,3,nm1322270,actress,\N,"[""Kitty Blair""]"
tt0000889,4,nm0161366,actor,\N,\N
tt0000889,5,nm0730386,cinematographer,\N,\N
tt0000889,6,nm0807358,actor,\N,\N
tt0000889,7,nm1400009,actor,\N,\N
tt0000889,8,nm0639631,actor,\N,\N
tt0000890,10,nm0038106,actress,\N,"[""Wedding Guest""]"
tt0000890,1,nm0456804,actor,\N,"[""Husband"",""Outlaw""]"
tt0000890,2,nm0502701,actress,\N,"[""The Outlaw's Wife""]"
tt0000890,3,nm0250676,actress,\N,"[""The Outlaw's Daughter - as a Child""]"
tt0000890,4,nm0681933,actress,\N,"[""The Outlaw's Daughter - as an Adult""]"
tt0000890,5,nm0000428,director,\N,\N
tt0000890,6,nm0005658,cinematographer,\N,\N
tt0000890,7,nm0555522,cinematographer,\N,\N
tt0000890,8,nm0910400,actor,\N,"[""The Mexican Lover""]"
tt0000890,9,nm0424530,actor,\N,"[""J. Woodford - Marshal"",""Guardian""]"
tt0000891,1,nm0727622,actor,\N,"[""Cyklist""]"
tt0000891,2,nm0814379,actress,\N,"[""Heks""]"
tt0000891,3,nm0488932,director,\N,\N
tt0000891,4,nm0333175,cinematographer,\N,\N
tt0000892,10,nm0277411,actress,\N,\N
tt0000892,1,nm0173994,actor,\N,"[""Mr. Jones""]"
tt0000892,2,nm0492757,actress,\N,"[""Mrs. Jones""]"
tt0000892,3,nm0038106,actress,\N,\N
tt0000892,4,nm0043018,actor,\N,"[""Biscuit Victim""]"
tt0000892,5,nm0000428,director,\N,\N
tt0000892,6,nm0005658,cinematographer,\N,\N
tt0000892,7,nm0076202,actress,\N,\N
tt0000892,8,nm0102858,actress,\N,\N
tt0000892,9,nm0185803,actor,\N,\N
tt0000893,1,nm0176699,actor,\N,"[""Hal Benton""]"
tt0000893,2,nm0311375,actor,\N,"[""Silver Water""]"
tt0000893,3,nm0202590,actress,\N,"[""Veda Mead""]"
tt0000893,4,nm0285961,actress,\N,"[""Morning Star""]"
tt0000893,5,nm0160280,director,\N,\N
tt0000893,6,nm0265289,director,\N,\N
tt0000893,7,nm0395438,producer,producer,\N
tt0000893,8,nm0060238,actor,\N,"[""Mr. Mead - Veda's Father""]"
tt0000893,9,nm0285947,actress,\N,"[""Morning Star's Mother""]"
tt0000894,1,nm0104856,actor,\N,\N
tt0000894,2,nm2718103,actress,\N,\N
tt0000894,3,nm0488932,director,\N,\N
tt0000894,4,nm0333175,cinematographer,\N,\N
tt0000895,10,nm0366008,actor,\N,"[""Farmer""]"
tt0000895,1,nm0601698,actor,\N,"[""Colonial Army Messenger""]"
tt0000895,2,nm0038106,actress,\N,"[""Farmer""]"
tt0000895,3,nm0115524,actress,\N,"[""Soldier's Family""]"
tt0000895,4,nm0125164,actor,\N,"[""Farmer""]"
tt0000895,5,nm0000428,director,\N,\N
tt0000895,6,nm0940488,writer,writer,\N
tt0000895,7,nm0005658,cinematographer,\N,\N
tt0000895,8,nm0555522,cinematographer,\N,\N
tt0000895,9,nm0163559,actor,\N,"[""Farmer""]"
tt0000896,1,nm0813603,actor,\N,"[""Jack Windom""]"
tt0000896,2,nm0502701,actress,\N,"[""The Woman""]"
tt0000896,3,nm0424530,actor,\N,"[""Tom""]"
tt0000896,4,nm0311375,actor,\N,"[""The Woman's Second Lover""]"
tt0000896,5,nm0000428,director,\N,\N
tt0000896,6,nm0005658,cinematographer,\N,\N
tt0000896,7,nm0173994,actor,\N,"[""The Doctor""]"
tt0000896,8,nm0366008,actor,\N,"[""Messenger""]"
tt0000897,10,nm0424530,actor,\N,"[""Man in Store""]"
tt0000897,1,nm0115524,actress,\N,"[""Mrs. Allen""]"
tt0000897,2,nm0288616,actor,\N,"[""Jack Allen - the Older Brother""]"
tt0000897,3,nm0601698,actor,\N,"[""Bob Allen - the Younger Brother""]"
tt0000897,4,nm0587097,actor,\N,"[""Proprietor""]"
tt0000897,5,nm0000428,director,\N,\N
tt0000897,6,nm0377958,writer,story,\N
tt0000897,7,nm0005658,cinematographer,\N,\N
tt0000897,8,nm0555522,cinematographer,\N,\N
tt0000897,9,nm0366008,actor,\N,"[""One of the Children on the Street""]"
tt0000898,10,nm0502701,actress,\N,"[""The Sister"",""At Wedding""]"
tt0000898,1,nm0456804,actor,\N,"[""Luke""]"
tt0000898,2,nm0601698,actor,\N,"[""James""]"
tt0000898,3,nm0681933,actress,\N,"[""Mary""]"
tt0000898,4,nm0629589,actor,\N,"[""Mary's Father""]"
tt0000898,5,nm0000428,director,\N,\N
tt0000898,6,nm0005658,cinematographer,\N,\N
tt0000898,7,nm0115524,actress,\N,"[""A Maid""]"
tt0000898,8,nm0250676,actress,\N,"[""At Wedding""]"
tt0000898,9,nm0262757,actor,\N,"[""At Wedding""]"
tt0000899,1,nm0001908,actor,\N,"[""Tom Carlton""]"
tt0000899,2,nm0161366,actor,\N,\N
tt0000899,3,nm0607273,actor,\N,\N
tt0000899,4,nm0639631,actor,\N,\N
tt0000899,5,nm1400009,actor,\N,\N
tt0000900,1,nm0424530,actor,\N,"[""Reverend Howson""]"
tt0000900,2,nm0492757,actress,\N,"[""The Reverend's Ward""]"
tt0000900,3,nm0601698,actor,\N,"[""General Winthrop""]"
tt0000900,4,nm0038106,actress,\N,"[""The Maid""]"
tt0000900,5,nm0000428,director,\N,\N
tt0000900,6,nm0005658,cinematographer,\N,\N
tt0000901,10,nm0409390,actor,\N,"[""Waiter""]"
tt0000901,1,nm0173994,actor,\N,"[""Mr. Jones""]"
tt0000901,2,nm0492757,actress,\N,"[""Mrs. Jones""]"
tt0000901,3,nm0922044,actress,\N,"[""Maid""]"
tt0000901,4,nm0376829,actress,\N,"[""Mrs. Jones' Mother""]"
tt0000901,5,nm0000428,director,\N,\N
tt0000901,6,nm0555522,cinematographer,\N,\N
tt0000901,7,nm0038106,actress,\N,"[""Restaurant Patron""]"
tt0000901,8,nm0277411,actress,\N,\N
tt0000901,9,nm0366008,actor,\N,"[""Busboy""]"
tt0000902,10,nm0784407,actor,\N,"[""At Club""]"
tt0000902,1,nm0704334,actor,\N,"[""Harry Wright""]"
tt0000902,2,nm0681933,actress,\N,"[""Bessie Wright""]"
tt0000902,3,nm0288616,actor,\N,"[""A Friend of Harry's""]"
tt0000902,4,nm0125164,actor,\N,"[""At Club""]"
tt0000902,5,nm0000428,director,\N,\N
tt0000902,6,nm0005658,cinematographer,\N,\N
tt0000902,7,nm0456804,actor,\N,"[""At Club""]"
tt0000902,8,nm0601698,actor,\N,"[""At Club""]"
tt0000902,9,nm0629589,actor,\N,\N
tt0000903,10,nm0587097,actor,\N,"[""At Dance""]"
tt0000903,1,nm0492757,actress,\N,"[""Rachel Einstein""]"
tt0000903,2,nm0813603,actor,\N,"[""Mr. Einstein""]"
tt0000903,3,nm0601698,actor,\N,"[""Ned Grattan""]"
tt0000903,4,nm0311375,actor,\N,"[""Musician"",""Policeman""]"
tt0000903,5,nm0000428,director,\N,\N
tt0000903,6,nm0005658,cinematographer,\N,\N
tt0000903,7,nm0376829,actress,\N,"[""At Dance""]"
tt0000903,8,nm0424530,actor,\N,"[""Customer"",""Musician""]"
tt0000903,9,nm0524306,actor,\N,\N
tt0000904,1,nm0298301,actress,\N,"[""The Girl""]"
tt0000904,2,nm0531584,actor,\N,"[""Tom Crawford""]"
tt0000904,3,nm0697944,actor,\N,"[""Sheriff Rattle Snake Jim""]"
tt0000904,4,nm0692105,director,\N,\N
tt0000905,1,nm0214651,actress,\N,"[""Gladys - The Little Girl""]"
tt0000905,2,nm0376829,actress,\N,"[""The Mother""]"
tt0000905,3,nm0250676,actress,\N,"[""Claude - The Little Boy""]"
tt0000905,4,nm0922044,actress,\N,"[""The Maid""]"
tt0000905,5,nm0000428,director,\N,\N
tt0000905,6,nm0005658,cinematographer,\N,\N
tt0000905,7,nm0038106,actress,\N,"[""A Visitor""]"
tt0000905,8,nm0424530,actor,\N,\N
tt0000905,9,nm0492757,actress,\N,\N
tt0000906,1,nm0294276,director,\N,\N
tt0000906,2,nm0378408,producer,producer,\N
tt0000907,10,nm0115524,actress,\N,"[""At the Ball""]"
tt0000907,1,nm0502701,actress,\N,"[""Marie Cadrona""]"
tt0000907,2,nm0629589,actor,\N,"[""Tony Guilletto""]"
tt0000907,3,nm0910400,actor,\N,"[""Victor Ratazzi""]"
tt0000907,4,nm0642722,actor,\N,"[""The Peddler""]"
tt0000907,5,nm0000428,director,\N,\N
tt0000907,6,nm0940488,writer,writer,\N
tt0000907,7,nm0005658,cinematographer,\N,\N
tt0000907,8,nm0456804,actor,\N,"[""The Sheriff""]"
tt0000907,9,nm0035187,actor,\N,\N
tt0000908,10,nm0125164,actor,\N,"[""Union Soldier"",""Aide""]"
tt0000908,1,nm0163559,actor,\N,"[""Mr. Wilkinson""]"
tt0000908,2,nm0115524,actress,\N,"[""Mrs. Wilkinson""]"
tt0000908,3,nm0910400,actor,\N,"[""Robert - the Confederate Son""]"
tt0000908,4,nm0601698,actor,\N,"[""George - the Union Son""]"
tt0000908,5,nm0000428,director,\N,\N
tt0000908,6,nm0206801,writer,play,\N
tt0000908,7,nm0853193,writer,writer,\N
tt0000908,8,nm0005658,cinematographer,\N,\N
tt0000908,9,nm0038106,actress,\N,"[""Homecoming Party""]"
tt0000909,10,nm0366008,actor,\N,"[""The Young Man""]"
tt0000909,1,nm0376442,actress,\N,"[""The Mother""]"
tt0000909,2,nm0366511,actress,\N,"[""The Maid""]"
tt0000909,3,nm0922044,actress,\N,"[""The Daughter""]"
tt0000909,4,nm0115524,actress,\N,"[""The Nursemaid""]"
tt0000909,5,nm0000428,director,\N,\N
tt0000909,6,nm0005658,cinematographer,\N,\N
tt0000909,7,nm0038106,actress,\N,\N
tt0000909,8,nm0214651,actress,\N,"[""One of the Children""]"
tt0000909,9,nm0250676,actress,\N,"[""One of the Children""]"
tt0000910,10,nm0681933,actress,\N,"[""At Brainard's""]"
tt0000910,1,nm0288616,actor,\N,"[""Henry Brainard""]"
tt0000910,2,nm0629589,actor,\N,"[""John Whitney""]"
tt0000910,3,nm0502701,actress,\N,"[""Mrs. John Whitney""]"
tt0000910,4,nm0250676,actress,\N,"[""The Whitney Child""]"
tt0000910,5,nm0000428,director,\N,\N
tt0000910,6,nm0005658,cinematographer,\N,\N
tt0000910,7,nm0076202,actress,\N,\N
tt0000910,8,nm0115524,actress,\N,"[""A Maid""]"
tt0000910,9,nm0642722,actor,\N,"[""Policeman""]"
tt0000911,10,nm0250676,actress,\N,\N
tt0000911,1,nm0629589,actor,\N,"[""Officer Wallace""]"
tt0000911,2,nm0502701,actress,\N,"[""Mrs. Wallace""]"
tt0000911,3,nm0214651,actress,\N,"[""The Wallace Child""]"
tt0000911,4,nm0456804,actor,\N,"[""A Convict""]"
tt0000911,5,nm0000428,director,\N,\N
tt0000911,6,nm0940488,writer,writer,\N
tt0000911,7,nm0005658,cinematographer,\N,\N
tt0000911,8,nm0115524,actress,\N,\N
tt0000911,9,nm0163559,actor,\N,\N
tt0000912,10,nm0642722,actor,\N,"[""At Stable""]"
tt0000912,1,nm0601698,actor,\N,"[""Blue Cloud""]"
tt0000912,2,nm0288616,actor,\N,"[""The Old Prospector""]"
tt0000912,3,nm0681933,actress,\N,"[""Blue Cloud's Wife""]"
tt0000912,4,nm0424530,actor,\N,"[""Cowboy""]"
tt0000912,5,nm0000428,director,\N,\N
tt0000912,6,nm0853193,writer,writer,\N
tt0000912,7,nm0005658,cinematographer,\N,\N
tt0000912,8,nm0456804,actor,\N,"[""Cowboy"",""Dying Man""]"
tt0000912,9,nm0502701,actress,\N,\N
tt0000913,1,nm0001908,actor,\N,\N
tt0000914,1,nm0005717,director,\N,\N
tt0000915,1,nm0294276,director,\N,\N
tt0000916,1,nm0511729,actor,\N,\N
tt0000916,2,nm1703900,writer,\N,\N
tt0000917,1,nm0456804,actor,\N,"[""Jim Brooks""]"
tt0000917,2,nm0492757,actress,\N,"[""Mrs. Jim Brooks""]"
tt0000917,3,nm0250676,actress,\N,"[""The Brooks Daughter""]"
tt0000917,4,nm0642722,actor,\N,"[""John West - the Best Friend""]"
tt0000917,5,nm0000428,director,\N,\N
tt0000917,6,nm0005658,cinematographer,\N,\N
tt0000917,7,nm0424530,actor,\N,"[""A Boarder""]"
tt0000917,8,nm0601698,actor,\N,"[""A Boarder""]"
tt0000917,9,nm0784407,actor,\N,"[""Workman on Scaffold""]"
tt0000918,1,nm0298301,actress,\N,\N
tt0000918,2,nm0111753,director,\N,\N
tt0000919,10,nm0043018,actor,\N,"[""At College""]"
tt0000919,1,nm0424530,actor,\N,"[""John Hale""]"
tt0000919,2,nm0601698,actor,\N,"[""Frank Allison""]"
tt0000919,3,nm0492757,actress,\N,"[""Mary Allison - Frank's Sister""]"
tt0000919,4,nm0502701,actress,\N,"[""Dorothy Kirk""]"
tt0000919,5,nm0000428,director,\N,\N
tt0000919,6,nm0005658,cinematographer,\N,\N
tt0000919,7,nm0555522,cinematographer,\N,\N
tt0000919,8,nm0784407,actor,\N,"[""Dorothy's First Suitor"",""Bartender"",""At Stock Exchange""]"
tt0000919,9,nm0038106,actress,\N,"[""Wedding Guest""]"
tt0000920,10,nm0250676,actress,\N,\N
tt0000920,1,nm0173994,actor,\N,"[""Mr. Jones""]"
tt0000920,2,nm0492757,actress,\N,"[""Mrs. Jones""]"
tt0000920,3,nm0376829,actress,\N,"[""Neighbor""]"
tt0000920,4,nm0784407,actor,\N,"[""Policeman""]"
tt0000920,5,nm0000428,director,\N,\N
